States__Regions__Stations__Name,States__Regions__Stations__Lon,States__Regions__Stations__Lat,Color,DetailAlarm,type,Val
Praha 8-Karlín,14.442049,50.094238,FFFFFF,-1,SO2 1h,
Praha 8-Karlín,14.442049,50.094238,C7EAFB,1,NO2 1h,23.0
Praha 8-Karlín,14.442049,50.094238,FFFFFF,-1,CO 8h,
Praha 8-Karlín,14.442049,50.094238,FFF200,3,PM10 1h,43.0
Praha 8-Karlín,14.442049,50.094238,FFFFFF,-1,O3 1h,
Praha 8-Karlín,14.442049,50.094238,C7EAFB,-2,PM10 24h,41.8
Praha 8-Karlín,14.442049,50.094238,FFFFFF,-1,PM2_5 1h,
Praha 8-Karlín,14.442049,50.094238,FFF200,3,General,
Praha 2-Legerova (hot spot),14.430673,50.072388,FFFFFF,-1,SO2 1h,
Praha 2-Legerova (hot spot),14.430673,50.072388,FFF200,3,NO2 1h,57.2
Praha 2-Legerova (hot spot),14.430673,50.072388,C7EAFB,1,CO 8h,296
Praha 2-Legerova (hot spot),14.430673,50.072388,9BD3AE,2,PM10 1h,34.0
Praha 2-Legerova (hot spot),14.430673,50.072388,FFFFFF,-1,O3 1h,
Praha 2-Legerova (hot spot),14.430673,50.072388,C7EAFB,-2,PM10 24h,37.3
Praha 2-Legerova (hot spot),14.430673,50.072388,C7EAFB,-2,PM2_5 1h,30.0
Praha 2-Legerova (hot spot),14.430673,50.072388,FFF200,3,General,
Praha 1-n. Republiky,14.429220,50.088066,FFFFFF,-1,SO2 1h,
Praha 1-n. Republiky,14.429220,50.088066,9BD3AE,2,NO2 1h,31.9
Praha 1-n. Republiky,14.429220,50.088066,FFFFFF,-1,CO 8h,
Praha 1-n. Republiky,14.429220,50.088066,9BD3AE,2,PM10 1h,38.0
Praha 1-n. Republiky,14.429220,50.088066,FFFFFF,-1,O3 1h,
Praha 1-n. Republiky,14.429220,50.088066,C7EAFB,-2,PM10 24h,48.0
Praha 1-n. Republiky,14.429220,50.088066,FFFFFF,-1,PM2_5 1h,
Praha 1-n. Republiky,14.429220,50.088066,9BD3AE,2,General,
Praha 2-Riegrovy sady,14.442692,50.081482,C7EAFB,1,SO2 1h,7.7
Praha 2-Riegrovy sady,14.442692,50.081482,9BD3AE,2,NO2 1h,26.2
Praha 2-Riegrovy sady,14.442692,50.081482,FFFFFF,-1,CO 8h,
Praha 2-Riegrovy sady,14.442692,50.081482,9BD3AE,2,PM10 1h,32.0
Praha 2-Riegrovy sady,14.442692,50.081482,C7EAFB,-2,O3 1h,22.9
Praha 2-Riegrovy sady,14.442692,50.081482,C7EAFB,-2,PM10 24h,41.5
Praha 2-Riegrovy sady,14.442692,50.081482,C7EAFB,-2,PM2_5 1h,32.0
Praha 2-Riegrovy sady,14.442692,50.081482,9BD3AE,2,General,
Praha 5-Smíchov,14.398141,50.073135,FFFFFF,-1,SO2 1h,
Praha 5-Smíchov,14.398141,50.073135,C7EAFB,1,NO2 1h,23.1
Praha 5-Smíchov,14.398141,50.073135,FFFFFF,-1,CO 8h,
Praha 5-Smíchov,14.398141,50.073135,FFF200,3,PM10 1h,62.0
Praha 5-Smíchov,14.398141,50.073135,FFFFFF,-1,O3 1h,
Praha 5-Smíchov,14.398141,50.073135,C7EAFB,-2,PM10 24h,37.7
Praha 5-Smíchov,14.398141,50.073135,C7EAFB,-2,PM2_5 1h,37.0
Praha 5-Smíchov,14.398141,50.073135,FFF200,3,General,
Praha 10-Vršovice,14.446152,50.066429,FFFFFF,-1,SO2 1h,
Praha 10-Vršovice,14.446152,50.066429,FFFFFF,-1,NO2 1h,
Praha 10-Vršovice,14.446152,50.066429,FFFFFF,-1,CO 8h,
Praha 10-Vršovice,14.446152,50.066429,FFF200,3,PM10 1h,58.0
Praha 10-Vršovice,14.446152,50.066429,FFFFFF,-1,O3 1h,
Praha 10-Vršovice,14.446152,50.066429,C7EAFB,-2,PM10 24h,47.7
Praha 10-Vršovice,14.446152,50.066429,FFFFFF,-1,PM2_5 1h,
Praha 10-Vršovice,14.446152,50.066429,FFF200,3,General,
Praha 9-Vysočany,14.503096,50.111080,FFFFFF,-1,SO2 1h,
