States__Regions__Stations__Name,States__Regions__Stations__Lon,States__Regions__Stations__Lat,Color,DetailAlarm,type,Val
Praha 8-Karlín,14.442049,50.094238,FFFFFF,-1,SO2 1h,
Praha 8-Karlín,14.442049,50.094238,C7EAFB,1,NO2 1h,23.3
Praha 8-Karlín,14.442049,50.094238,FFFFFF,-1,CO 8h,
Praha 8-Karlín,14.442049,50.094238,9BD3AE,2,PM10 1h,21
Praha 8-Karlín,14.442049,50.094238,FFFFFF,-1,O3 1h,
Praha 8-Karlín,14.442049,50.094238,C7EAFB,-2,PM10 24h,26.2
Praha 8-Karlín,14.442049,50.094238,FFFFFF,-1,PM2_5 1h,
Praha 8-Karlín,14.442049,50.094238,9BD3AE,2,General,
Praha 2-Legerova (hot spot),14.430673,50.072388,FFFFFF,-1,SO2 1h,
Praha 2-Legerova (hot spot),14.430673,50.072388,FFF200,3,NO2 1h,58.3
Praha 2-Legerova (hot spot),14.430673,50.072388,C7EAFB,1,CO 8h,531
Praha 2-Legerova (hot spot),14.430673,50.072388,C7EAFB,1,PM10 1h,17
Praha 2-Legerova (hot spot),14.430673,50.072388,FFFFFF,-1,O3 1h,
Praha 2-Legerova (hot spot),14.430673,50.072388,C7EAFB,-2,PM10 24h,24.1
Praha 2-Legerova (hot spot),14.430673,50.072388,C7EAFB,-2,PM2_5 1h,10
Praha 2-Legerova (hot spot),14.430673,50.072388,FFF200,3,General,
My own device !,14.43001,50.08002,ED1C24,5,CO 8h,50
Praha 1-n. Republiky,14.42922,50.088066,FFFFFF,-1,SO2 1h,
Praha 1-n. Republiky,14.42922,50.088066,9BD3AE,2,NO2 1h,47.1
Praha 1-n. Republiky,14.42922,50.088066,FFFFFF,-1,CO 8h,
Praha 1-n. Republiky,14.42922,50.088066,C7EAFB,1,PM10 1h,1
Praha 1-n. Republiky,14.42922,50.088066,FFFFFF,-1,O3 1h,
Praha 1-n. Republiky,14.42922,50.088066,C7EAFB,-2,PM10 24h,6.5
Praha 1-n. Republiky,14.42922,50.088066,FFFFFF,-1,PM2_5 1h,
Praha 1-n. Republiky,14.42922,50.088066,9BD3AE,2,General,
Praha 2-Riegrovy sady,14.442692,50.081482,C7EAFB,1,SO2 1h,1.3
Praha 2-Riegrovy sady,14.442692,50.081482,C7EAFB,1,NO2 1h,18.2
Praha 2-Riegrovy sady,14.442692,50.081482,FFFFFF,-1,CO 8h,
Praha 2-Riegrovy sady,14.442692,50.081482,C7EAFB,1,PM10 1h,18
Praha 2-Riegrovy sady,14.442692,50.081482,FFF200,3,O3 1h,71
Praha 2-Riegrovy sady,14.442692,50.081482,C7EAFB,-2,PM10 24h,22.5
Praha 2-Riegrovy sady,14.442692,50.081482,C7EAFB,-2,PM2_5 1h,9
Praha 2-Riegrovy sady,14.442692,50.081482,FFF200,3,General,
Praha 5-Smíchov,14.398141,50.073135,FFFFFF,-1,SO2 1h,
Praha 5-Smíchov,14.398141,50.073135,FFFFFF,0,NO2 1h,
Praha 5-Smíchov,14.398141,50.073135,FFFFFF,-1,CO 8h,
Praha 5-Smíchov,14.398141,50.073135,C7EAFB,1,PM10 1h,10
Praha 5-Smíchov,14.398141,50.073135,FFFFFF,-1,O3 1h,
Praha 5-Smíchov,14.398141,50.073135,C7EAFB,-2,PM10 24h,26.8
Praha 5-Smíchov,14.398141,50.073135,C7EAFB,-2,PM2_5 1h,2
Praha 5-Smíchov,14.398141,50.073135,FFFFFF,0,General,
Praha 10-Vršovice,14.446152,50.066429,FFFFFF,-1,SO2 1h,
Praha 10-Vršovice,14.446152,50.066429,FFFFFF,-1,NO2 1h,
Praha 10-Vršovice,14.446152,50.066429,FFFFFF,-1,CO 8h,
Praha 10-Vršovice,14.446152,50.066429,9BD3AE,2,PM10 1h,26
