States__Regions__Stations__Name,States__Regions__Stations__Lon,States__Regions__Stations__Lat,Color,DetailAlarm,type,Val
Krakow,19.949188,50.010574,FFFFFF,-1,SO2 1h,
Krakow,19.949188,50.010574,9BD3AE,2,NO2 1h,37.9
Krakow,19.949188,50.010574,FFFFFF,-1,CO 8h,
Krakow,19.949188,50.010574,FFF200,3,PM10 1h,49.7
Krakow,19.949188,50.010574,FFFFFF,0,O3 1h,
Krakow,19.949188,50.010574,C7EAFB,-2,PM10 24h,41.4
Krakow,19.949188,50.010574,FFFFFF,-1,PM2_5 1h,
Krakow,19.949188,50.010574,FFFFFF,0,General,
Tarnow,21.004168,50.020168,C7EAFB,1,SO2 1h,2.2
Tarnow,21.004168,50.020168,9BD3AE,2,NO2 1h,26.1
Tarnow,21.004168,50.020168,FFFFFF,0,CO 8h,
Tarnow,21.004168,50.020168,9BD3AE,2,PM10 1h,27.0
Tarnow,21.004168,50.020168,FFFFFF,-1,O3 1h,
Tarnow,21.004168,50.020168,C7EAFB,-2,PM10 24h,33.8
Tarnow,21.004168,50.020168,FFFFFF,-1,PM2_5 1h,
Tarnow,21.004168,50.020168,9BD3AE,2,General,
Trzebinia,19.477465,50.159405,C7EAFB,1,SO2 1h,12.6
Trzebinia,19.477465,50.159405,9BD3AE,2,NO2 1h,33.6
Trzebinia,19.477465,50.159405,C7EAFB,1,CO 8h,83
Trzebinia,19.477465,50.159405,9BD3AE,2,PM10 1h,26.1
Trzebinia,19.477465,50.159405,FFFFFF,-1,O3 1h,
Trzebinia,19.477465,50.159405,C7EAFB,-2,PM10 24h,28.0
Trzebinia,19.477465,50.159405,FFFFFF,-1,PM2_5 1h,
Trzebinia,19.477465,50.159405,9BD3AE,2,General,
Zakopane,19.960083,49.293564,C7EAFB,1,SO2 1h,9.9
Zakopane,19.960083,49.293564,C7EAFB,1,NO2 1h,21.6
Zakopane,19.960083,49.293564,C7EAFB,1,CO 8h,938
Zakopane,19.960083,49.293564,9BD3AE,2,PM10 1h,33.1
Zakopane,19.960083,49.293564,FFFFFF,-1,O3 1h,
Zakopane,19.960083,49.293564,C7EAFB,-2,PM10 24h,30.8
Zakopane,19.960083,49.293564,FFFFFF,-1,PM2_5 1h,
Zakopane,19.960083,49.293564,9BD3AE,2,General,
Kedzierzyn-Kozle,18.236574,50.349609,FFFFFF,-1,SO2 1h,
Kedzierzyn-Kozle,18.236574,50.349609,FFFFFF,-1,NO2 1h,
Kedzierzyn-Kozle,18.236574,50.349609,FFFFFF,-1,CO 8h,
Kedzierzyn-Kozle,18.236574,50.349609,FFF200,3,PM10 1h,41.0
Kedzierzyn-Kozle,18.236574,50.349609,FFFFFF,-1,O3 1h,
Kedzierzyn-Kozle,18.236574,50.349609,C7EAFB,-2,PM10 24h,39.6
Kedzierzyn-Kozle,18.236574,50.349609,C7EAFB,-2,PM2_5 1h,35.5
Kedzierzyn-Kozle,18.236574,50.349609,FFF200,3,General,
Opole,17.922796,50.666962,FFFFFF,0,SO2 1h,
Opole,17.922796,50.666962,FFFFFF,0,NO2 1h,
Opole,17.922796,50.666962,FFFFFF,-1,CO 8h,
Opole,17.922796,50.666962,FFF200,3,PM10 1h,56.3
Opole,17.922796,50.666962,FFFFFF,-1,O3 1h,
Opole,17.922796,50.666962,C7EAFB,-2,PM10 24h,40.6
Opole,17.922796,50.666962,FFFFFF,-1,PM2_5 1h,
Opole,17.922796,50.666962,FFFFFF,0,General,
Zdzieszowice,18.120739,50.423534,FFFFFF,-1,SO2 1h,
Zdzieszowice,18.120739,50.423534,C7EAFB,1,NO2 1h,21.3
Zdzieszowice,18.120739,50.423534,FFFFFF,-1,CO 8h,
Zdzieszowice,18.120739,50.423534,FFF200,3,PM10 1h,52.0
Zdzieszowice,18.120739,50.423534,FFFFFF,-1,O3 1h,
Zdzieszowice,18.120739,50.423534,C7EAFB,-2,PM10 24h,33.9
Zdzieszowice,18.120739,50.423534,FFFFFF,-1,PM2_5 1h,
Zdzieszowice,18.120739,50.423534,FFF200,3,General,
Dzierzoniow,16.648050,50.732819,C7EAFB,1,SO2 1h,13.1
Dzierzoniow,16.648050,50.732819,9BD3AE,2,NO2 1h,39.9
Dzierzoniow,16.648050,50.732819,FFFFFF,-1,CO 8h,
Dzierzoniow,16.648050,50.732819,FFF200,3,PM10 1h,68.2
Dzierzoniow,16.648050,50.732819,FFFFFF,-1,O3 1h,
Dzierzoniow,16.648050,50.732819,C7EAFB,-2,PM10 24h,50.8
Dzierzoniow,16.648050,50.732819,FFFFFF,-1,PM2_5 1h,
Dzierzoniow,16.648050,50.732819,FFF200,3,General,
Osieczów,15.431735,51.317696,C7EAFB,1,SO2 1h,5.3
Osieczów,15.431735,51.317696,C7EAFB,1,NO2 1h,17.1
Osieczów,15.431735,51.317696,FFFFFF,-1,CO 8h,
Osieczów,15.431735,51.317696,FFFFFF,-1,PM10 1h,
Osieczów,15.431735,51.317696,FFFFFF,0,O3 1h,
Osieczów,15.431735,51.317696,FFFFFF,-1,PM10 24h,
Osieczów,15.431735,51.317696,FFFFFF,-1,PM2_5 1h,
Osieczów,15.431735,51.317696,FFF200,-1,General,
Zabkowice Slaskie,16.819822,50.592335,C7EAFB,1,SO2 1h,5.4
Zabkowice Slaskie,16.819822,50.592335,C7EAFB,1,NO2 1h,20.2
Zabkowice Slaskie,16.819822,50.592335,FFFFFF,0,CO 8h,
Zabkowice Slaskie,16.819822,50.592335,FFF200,3,PM10 1h,44.7
Zabkowice Slaskie,16.819822,50.592335,FFFFFF,-1,O3 1h,
Zabkowice Slaskie,16.819822,50.592335,C7EAFB,-2,PM10 24h,44.6
Zabkowice Slaskie,16.819822,50.592335,FFFFFF,-1,PM2_5 1h,
Zabkowice Slaskie,16.819822,50.592335,FFF200,3,General,
Bielsko Biala,19.027319,49.813473,C7EAFB,1,SO2 1h,7.7
Bielsko Biala,19.027319,49.813473,C7EAFB,1,NO2 1h,24.3
Bielsko Biala,19.027319,49.813473,C7EAFB,1,CO 8h,809
Bielsko Biala,19.027319,49.813473,FFF200,3,PM10 1h,44.0
Bielsko Biala,19.027319,49.813473,9BD3AE,2,O3 1h,34.6
Bielsko Biala,19.027319,49.813473,C7EAFB,-2,PM10 24h,35.3
Bielsko Biala,19.027319,49.813473,FFFFFF,-1,PM2_5 1h,
Bielsko Biala,19.027319,49.813473,FFF200,3,General,
Cieszyn,18.639069,49.738136,C7EAFB,1,SO2 1h,14.3
Cieszyn,18.639069,49.738136,C7EAFB,1,NO2 1h,16.1
Cieszyn,18.639069,49.738136,C7EAFB,1,CO 8h,575
Cieszyn,18.639069,49.738136,9BD3AE,2,PM10 1h,38.1
Cieszyn,18.639069,49.738136,C7EAFB,1,O3 1h,32.7
Cieszyn,18.639069,49.738136,C7EAFB,-2,PM10 24h,34.2
Cieszyn,18.639069,49.738136,FFFFFF,-1,PM2_5 1h,
Cieszyn,18.639069,49.738136,9BD3AE,2,General,
Czestochowa - Armii Krajowej,19.117416,50.817680,C7EAFB,1,SO2 1h,19.8
Czestochowa - Armii Krajowej,19.117416,50.817680,9BD3AE,2,NO2 1h,44.6
Czestochowa - Armii Krajowej,19.117416,50.817680,9BD3AE,2,CO 8h,1 635
Czestochowa - Armii Krajowej,19.117416,50.817680,ED1C24,5,PM10 1h,135.6
Czestochowa - Armii Krajowej,19.117416,50.817680,FFFFFF,-1,O3 1h,
Czestochowa - Armii Krajowej,19.117416,50.817680,C7EAFB,-2,PM10 24h,73.9
Czestochowa - Armii Krajowej,19.117416,50.817680,FFFFFF,-1,PM2_5 1h,
Czestochowa - Armii Krajowej,19.117416,50.817680,ED1C24,5,General,
Czestochowa - Baczyrskiego,19.130112,50.836388,C7EAFB,1,SO2 1h,13.5
Czestochowa - Baczyrskiego,19.130112,50.836388,9BD3AE,2,NO2 1h,32.2
Czestochowa - Baczyrskiego,19.130112,50.836388,9BD3AE,2,CO 8h,1 080
